code_ms|vek_skupina|uroven
12-10|age19|3
12-11|age19|3
12-12|age19|3
12-13|age19|3
12-14|age19|3
12-15|age19|3
12-16|age19|3
12-17|age19|3
12-18|age19|3
12-19|age19|3
12-20|age19|3
12-21|age19|3
12-22|age19|3
12-23|age19|3
12-24|age19|3
12-25|age19|3
12-26|age19|3
12-27|age19|3
12-28|age19|3
12-29|age19|3
12-30|age19|3
12-31|age19|3
12-32|age19|3
12-33|age19|3
12-34|age19|3
12-35|age19|3
12-36|age19|3
12-37|age19|3
12-38|age19|3
12-39|age19|3
12-40|age19|3
12-41|age19|3
12-42|age19|3
12-43|age19|3
12-44|age19|3
13-01|age19|5
13-02|age19|4
13-03|age19|4
13-04|age19|4
13-05|age19|4
13-06|age19|4
13-07|age19|4
13-08|age19|4
13-09|age19|3
13-10|age19|3
13-11|age19|3
13-12|age19|3
13-13|age19|3
13-14|age19|3
13-15|age19|3
13-16|age19|3
13-17|age19|3
13-18|age19|3
13-19|age19|2
13-20|age19|2
13-21|age19|2
13-22|age19|2
13-23|age19|2
13-24|age19|2
13-25|age19|2
13-26|age19|2
13-27|age19|2
13-28|age19|2
13-29|age19|2
13-30|age19|2
13-31|age19|2
13-32|age19|2
13-33|age19|2
13-34|age19|2
13-35|age19|2
13-36|age19|2
13-37|age19|2
13-38|age19|2
13-39|age19|2
13-40|age19|2
13-41|age19|2
13-42|age19|2
13-43|age19|2
13-44|age19|2
13-45|age19|2
13-46|age19|1
13-47|age19|1
13-48|age19|1
13-49|age19|1
13-50|age19|1
13-51|age19|1
13-52|age19|1
13-53|age19|1
13-54|age19|1
13-55|age19|1
13-56|age19|1
14-01|age19|3
14-02|age19|3
14-03|age19|3
14-04|age19|3
14-05|age19|3
14-06|age19|3
14-07|age19|3
14-08|age19|2
14-09|age19|2
14-10|age19|2
14-11|age19|2
14-12|age19|2
14-13|age19|2
14-14|age19|2
14-15|age19|2
14-16|age19|2
14-17|age19|1
14-18|age19|1
14-19|age19|1
14-20|age19|1
14-21|age19|1
14-22|age19|1
15-01|age19|5
15-02|age19|5
15-03|age19|4
15-04|age19|4
15-05|age19|4
15-06|age19|3
15-07|age19|3
15-08|age19|3
15-09|age19|3
15-10|age19|3
15-11|age19|3
15-12|age19|3
15-13|age19|3
15-14|age19|3
15-15|age19|3
15-16|age19|3
15-17|age19|2
15-18|age19|2
15-19|age19|2
15-20|age19|2
15-21|age19|1
15-22|age19|1
15-23|age19|1
15-24|age19|1
15-25|age19|3
16-01|age19|5
16-02|age19|2
16-03|age19|5
16-04|age19|3
16-05|age19|2
17-01|age19|5
17-03|age19|5
17-04|age19|5
17-05|age19|4
17-07|age19|5
17-08|age19|5
17-09|age19|4
17-10|age19|5
17-11|age19|4
17-12|age19|4
17-13|age19|4
17-14|age19|2
18-01|age19|5
18-02|age19|4
18-03|age19|4
18-04|age19|4
18-05|age19|4
18-06|age19|4
18-07|age19|4
18-08|age19|4
19-01|age19|4
19-02|age19|3
19-03|age19|3
19-04|age19|3
19-05|age19|3
19-06|age19|3
19-07|age19|1
19-08|age19|1
20-01|age19|4
20-02|age19|3
20-03|age19|3
20-04|age19|3
20-05|age19|3
20-06|age19|3
20-07|age19|3
20-08|age19|3
20-09|age19|3
21-01|age19|4
21-02|age19|4
21-03|age19|3
22-01|age19|3
22-02a03|age19|4
22-04a05|age19|3
22-06a07|age19|4
22-02|age19|3
22-03|age19|4
22-04|age19|3
22-05|age19|3
22-06|age19|4
22-07|age19|4
22-08|age19|3
23-01|age19|2
23-02|age19|3
23-03|age19|3
23-04|age19|3
23-05|age19|3
23-06|age19|3
24-01|age19|4
24-02|age19|3
24-03|age19|3
24-04|age19|2
24-05|age19|2
24-06|age19|2
24-07|age19|2
24-08|age19|2
24-09|age19|2
24-10|age19|2
24-11|age19|2
24-12|age19|2
24-13|age19|2
24-14|age19|2
24-15|age19|2
24-16|age19|2
24-17|age19|2
24-18|age19|2
25-01|age19|5
25-02|age19|4
25-03|age19|3
25-04|age19|2
25-05|age19|2
25-06|age19|2
25-07|age19|2
25-08|age19|2
25-09|age19|2
25-10|age19|2
25-11|age19|2
25-12|age19|2
25-13|age19|2
25-14|age19|2
25-15|age19|2
25-16|age19|2
25-17|age19|2
25-18|age19|2
26-01|age19|5
26-02|age19|4
26-03|age19|4
26-04|age19|4
26-05|age19|4
26-06|age19|4
26-07|age19|3
26-08|age19|3
26-09|age19|3
26-10|age19|3
26-11|age19|3
26-12|age19|3
26-13|age19|3
26-14|age19|3
26-15|age19|3
26-16|age19|3
26-17|age19|2
26-18|age19|2
26-19|age19|2
26-20|age19|2
26-21|age19|2
26-22|age19|2
26-23|age19|2
26-24|age19|2
26-25|age19|2
26-26|age19|2
26-27|age19|2
26-28|age19|2
27-01|age19|5
27-02|age19|5
27-03|age19|5
27-04|age19|5
27-05|age19|4
27-06|age19|4
27-07|age19|4
27-08|age19|4
27-09|age19|4
27-10|age19|4
27-11|age19|4
27-12|age19|4
27-13|age19|3
27-14|age19|3
27-15|age19|3
27-16|age19|2
27-17|age19|3
27-18|age19|3
27-19|age19|3
27-20|age19|3
27-21|age19|3
27-22|age19|3
27-23|age19|3
27-24|age19|3
27-25|age19|3
27-26|age19|3
27-27|age19|3
27-28|age19|3
27-29|age19|3
27-30|age19|3
27-31|age19|3
27-32|age19|3
27-33|age19|3
27-34|age19|3
27-35|age19|3
27-36|age19|3
27-37|age19|2
27-38|age19|2
27-39|age19|2
27-40|age19|2
27-41|age19|2
27-42|age19|2
27-43|age19|2
27-44|age19|2
27-45|age19|2
27-46|age19|2
27-47|age19|2
27-48|age19|2
27-49|age19|2
27-50|age19|2
27-51|age19|2
27-52|age19|2
27-53|age19|2
27-54|age19|2
27-55|age19|2
27-56|age19|1
27-57|age19|1
27-58|age19|1
27-59|age19|1
27-60|age19|1
27-61|age19|1
27-62|age19|1
27-63|age19|2
27-64|age19|4
27-65|age19|2
27-66|age19|3
27-67|age19|2
27-68|age19|2
27-69|age19|3
28-01|age19|4
28-02|age19|4
28-03|age19|4
28-04|age19|3
28-05|age19|3
28-06|age19|2
28-07|age19|2
28-08|age19|2
28-09|age19|2
28-10|age19|2
28-11|age19|2
28-12|age19|2
28-13|age19|2
29-01|age19|3
29-02|age19|4
29-03|age19|4
29-04|age19|3
29-05|age19|3
29-06|age19|3
29-07|age19|2
29-08|age19|2
29-09|age19|2
29-10|age19|2
29-11|age19|1
29-12|age19|1
29-13|age19|1
30-01|age19|5
30-02|age19|3
30-03|age19|3
30-04|age19|2
30-05|age19|2
30-06|age19|2
30-07|age19|2
30-08|age19|2
30-09|age19|2
30-10|age19|2
30-11|age19|2
31-01|age19|5
31-02|age19|5
31-03|age19|4
31-04|age19|4
31-05|age19|4
31-06|age19|4
31-07|age19|4
31-08|age19|4
31-09|age19|4
31-10|age19|4
31-11|age19|4
31-12|age19|4
31-13|age19|4
31-14|age19|4
31-15|age19|4
31-16|age19|4
31-17|age19|4
31-18|age19|3
31-19|age19|3
31-20|age19|3
31-21|age19|3
31-22|age19|3
31-23|age19|3
31-24|age19|3
31-25|age19|3
31-26|age19|3
31-27|age19|3
31-28|age19|2
31-29|age19|2
31-30|age19|2
31-31|age19|2
31-32|age19|2
31-33|age19|2
31-34|age19|4
31-35|age19|2
31-36|age19|2
31-37|age19|2
31-38|age19|2
32-01|age19|5
32-02|age19|3
32-03|age19|3
32-04|age19|3
32-05|age19|3
32-06|age19|3
32-07|age19|3
32-09|age19|2
32-10|age19|2
32-11|age19|2
32-12|age19|2
32-13|age19|2
32-14|age19|2
33-01|age19|3
33-02|age19|3
33-03|age19|3
33-04|age19|3
34-01|age19|4
34-02|age19|4
34-03|age19|4
34-04|age19|3
34-05|age19|3
34-06|age19|2
34-07|age19|2
34-08|age19|2
35-01|age19|3
35-02|age19|2
35-03|age19|2
35-04|age19|2
35-05|age19|2
35-06|age19|2
35-07|age19|2
35-08|age19|2
35-09|age19|2
35-10|age19|2
35-11|age19|2
35-12|age19|2
35-13|age19|2
35-14|age19|2
35-15|age19|2
35-16|age19|2
35-17|age19|2
35-18|age19|2
35-19|age19|2
